OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0009692,1,1,1,1,1,5
OG0009693,1,1,1,1,1,5
OG0009694,1,1,1,1,1,5
OG0009695,1,1,1,1,1,5
OG0009696,1,1,1,1,1,5
OG0009697,1,1,1,1,1,5
OG0009698,1,1,1,1,1,5
OG0009701,1,1,1,1,1,5
OG0009703,1,1,1,1,1,5
OG0009705,1,1,1,1,1,5
OG0009706,1,1,1,1,1,5
OG0009707,1,1,1,1,1,5
OG0009708,1,1,1,1,1,5
OG0009710,1,1,1,1,1,5
OG0009712,1,1,1,1,1,5
OG0009714,1,1,1,1,1,5
OG0009716,1,1,1,1,1,5
OG0009719,1,1,1,1,1,5
OG0009720,1,1,1,1,1,5
OG0009721,1,1,1,1,1,5
OG0009722,1,1,1,1,1,5
OG0009723,1,1,1,1,1,5
OG0009724,1,1,1,1,1,5
OG0009725,1,1,1,1,1,5
OG0009727,1,1,1,1,1,5
OG0009728,1,1,1,1,1,5
OG0009730,1,1,1,1,1,5
OG0009731,1,1,1,1,1,5
OG0009738,1,1,1,1,1,5
OG0009739,1,1,1,1,1,5
OG0009742,1,1,1,1,1,5
OG0009744,1,1,1,1,1,5
OG0009745,1,1,1,1,1,5
OG0009749,1,1,1,1,1,5
OG0009750,1,1,1,1,1,5
OG0009753,1,1,1,1,1,5
OG0009754,1,1,1,1,1,5
OG0009755,1,1,1,1,1,5
OG0009758,1,1,1,1,1,5
OG0009759,1,1,1,1,1,5
OG0009760,1,1,1,1,1,5
OG0009761,1,1,1,1,1,5
OG0009764,1,1,1,1,1,5
OG0009765,1,1,1,1,1,5
OG0009768,1,1,1,1,1,5
OG0009769,1,1,1,1,1,5
OG0009770,1,1,1,1,1,5
OG0009775,1,1,1,1,1,5
OG0009776,1,1,1,1,1,5
OG0009777,1,1,1,1,1,5
OG0009781,1,1,1,1,1,5
OG0009782,1,1,1,1,1,5
OG0009784,1,1,1,1,1,5
OG0009786,1,1,1,1,1,5
OG0009788,1,1,1,1,1,5
OG0009789,1,1,1,1,1,5
OG0009792,1,1,1,1,1,5
OG0009795,1,1,1,1,1,5
OG0009797,1,1,1,1,1,5
OG0009800,1,1,1,1,1,5
OG0009802,1,1,1,1,1,5
OG0009806,1,1,1,1,1,5
OG0009807,1,1,1,1,1,5
OG0009808,1,1,1,1,1,5
OG0009809,1,1,1,1,1,5
OG0009811,1,1,1,1,1,5
OG0009812,1,1,1,1,1,5
OG0009814,1,1,1,1,1,5
OG0009817,1,1,1,1,1,5
OG0009818,1,1,1,1,1,5
OG0009821,1,1,1,1,1,5
OG0009822,1,1,1,1,1,5
OG0009825,1,1,1,1,1,5
OG0009827,1,1,1,1,1,5
OG0009828,1,1,1,1,1,5
OG0009829,1,1,1,1,1,5
OG0009832,1,1,1,1,1,5
OG0009834,1,1,1,1,1,5
OG0009835,1,1,1,1,1,5
OG0009836,1,1,1,1,1,5
OG0009837,1,1,1,1,1,5
OG0009839,1,1,1,1,1,5
OG0009840,1,1,1,1,1,5
OG0009841,1,1,1,1,1,5
OG0009842,1,1,1,1,1,5
OG0009844,1,1,1,1,1,5
OG0009845,1,1,1,1,1,5
OG0009846,1,1,1,1,1,5
OG0009847,1,1,1,1,1,5
OG0009852,1,1,1,1,1,5
OG0009854,1,1,1,1,1,5
OG0009856,1,1,1,1,1,5
OG0009858,1,1,1,1,1,5
OG0009859,1,1,1,1,1,5
OG0009860,1,1,1,1,1,5
OG0009861,1,1,1,1,1,5
OG0009866,1,1,1,1,1,5
OG0009869,1,1,1,1,1,5
OG0009870,1,1,1,1,1,5
OG0009872,1,1,1,1,1,5
OG0009873,1,1,1,1,1,5
OG0009874,1,1,1,1,1,5
OG0009876,1,1,1,1,1,5
OG0009879,1,1,1,1,1,5
OG0009880,1,1,1,1,1,5
OG0009881,1,1,1,1,1,5
OG0009883,1,1,1,1,1,5
OG0009885,1,1,1,1,1,5
OG0009887,1,1,1,1,1,5
OG0009888,1,1,1,1,1,5
OG0009890,1,1,1,1,1,5
OG0009892,1,1,1,1,1,5
OG0009893,1,1,1,1,1,5
OG0009894,1,1,1,1,1,5
OG0009895,1,1,1,1,1,5
OG0009896,1,1,1,1,1,5
OG0009899,1,1,1,1,1,5
OG0009900,1,1,1,1,1,5
OG0009901,1,1,1,1,1,5
OG0009904,1,1,1,1,1,5
OG0009906,1,1,1,1,1,5
OG0009909,1,1,1,1,1,5
OG0009910,1,1,1,1,1,5
OG0009911,1,1,1,1,1,5
OG0009912,1,1,1,1,1,5
OG0009913,1,1,1,1,1,5
OG0009916,1,1,1,1,1,5
OG0009917,1,1,1,1,1,5
OG0009919,1,1,1,1,1,5
OG0009920,1,1,1,1,1,5
OG0009922,1,1,1,1,1,5
OG0009923,1,1,1,1,1,5
OG0009924,1,1,1,1,1,5
OG0009925,1,1,1,1,1,5
OG0009928,1,1,1,1,1,5
OG0009930,1,1,1,1,1,5
OG0009931,1,1,1,1,1,5
OG0009932,1,1,1,1,1,5
OG0009933,1,1,1,1,1,5
OG0009934,1,1,1,1,1,5
