OG,Past_1,Past_2,Past_3,Past_4
OG0000513,849,1882.366,1555.405,6099.415
OG0000514,95,212.169,184,562
OG0000515,64,169.109,198,659.301
OG0000516,30,17.001,22,22
OG0000517,77.585,113.706,81.022,390
OG0000518,10,41.136,28,40
OG0000519,47,42.634,33,320.498
OG0000520,332,802.055,467,1612.558
OG0000521,286,142.062,38,52
OG0000523,344,1163.084,772.462,1792.999
OG0000524,2081.959,6599.754,2993.243,9733.399
OG0000525,33,49.716,59,218
OG0000526,12,29.305,7,55
OG0000527,66,189.872,157,600.734
OG0000528,985.462,693.66,1059.662,1679.189
OG0000529,62,111.481,62.999,257.936
OG0000530,634,1305.435,836.929,2239.932
OG0000531,71,96.845,97,525
OG0000532,1,4.001,3,11
OG0000533,84,129.58,121,427
OG0000534,2363.316,4775.899,2043.234,7977.416
OG0000535,147,132.644,317.244,229.81
OG0000536,514,715.233,820.348,2533.782
OG0000537,223.001,478.214,464,1060.723
OG0000538,453,592.785,673.053,1963.035
OG0000540,60.883,97.659,66.289,206.556
OG0000541,100,100.795,158,307.999
OG0000542,1412.861,2714.338,1271.987,5670.448
OG0000543,16.818,28.556,9,166.707
OG0000544,9,7.015,12,15
OG0000545,4,3.982,5,14.149
OG0000546,100,140.623,138.002,682
OG0000548,5,15,17,30.007
OG0000549,436,984.469,491.191,2324.496
OG0000552,13,41.514,28,116.649
OG0000553,362.819,403.092,423,1459.384
OG0000554,87,100.943,78,328.204
OG0000555,1112.063,4058.603,477.019,4158.504
OG0000556,106,299.07,219,523.964
OG0000557,223,397.653,296.003,419.721
OG0000558,106,395.179,75,289
OG0000559,16,18.376,13,39
OG0000560,320.002,676.983,650.676,2026.503
OG0000561,300.004,1715.563,739.018,2018.302
OG0000562,3944.177,7495.904,5200.533,34210.192
OG0000563,42,66.314,47,404
OG0000564,534.75,1006.501,354,3037.953
OG0000566,272,492.943,299,1915.202
OG0000567,883.187,1524.676,938.423,3411.228
OG0000568,230,326.38,295.031,1127.936
OG0000569,121.293,194.127,176,540.448
OG0000571,1741.951,4410.975,1944.468,8850.439
OG0000572,134,281.976,144,978.036
OG0000573,127,204.357,208.067,559.264
OG0000574,89,393.956,248,1040.001
OG0000575,231,419.782,445.96,1108.045
OG0000576,49.369,101.954,104.559,463.084
OG0000577,409,659.256,840,750
OG0000578,54,175.342,181,277.224
OG0000579,63,142.37,116.914,334.986
OG0000580,87,230.745,146,424
OG0000581,267,818.085,562.665,2373.756
OG0000582,54,118.341,142.361,317
OG0000584,839.973,2020.814,1322.924,9450.508
OG0000585,244.005,550.652,558.006,2015.433
OG0000587,1,0,2,7
OG0000588,438.189,603.752,471.545,855.718
OG0000590,682.835,1601.108,694.087,3414.149
OG0000591,12,33.538,13,48.484
OG0000592,41,40.032,31,369
OG0000593,271,961.317,560.407,1023.07
OG0000595,866,1756.9,2257.96,6081.507
OG0000596,963.011,2112.896,1655.833,2518.995
OG0000598,44,108.009,71,251.836
OG0000599,855,6913.102,143,494.722
OG0000600,1201.908,3767.943,1854.899,3702.459
OG0000601,399.19,925.056,554.083,3045.227
OG0000603,186,407.087,275,1040.036
OG0000604,119.785,127.316,78.825,558.025
OG0000605,3,7.412,1,8
OG0000606,154,366.781,354.423,740.785
OG0000608,136,93.063,64,231
OG0000609,49.988,58.602,33.482,326.193
OG0000610,279,498.113,330,681.01
OG0000611,27,87.547,43.991,156.82
OG0000612,31,74.152,97,1210.115
OG0000613,458.236,895.02,708.018,1705.584
OG0000614,180,296.469,319.728,914.398
OG0000616,162,279.599,254,552.287
OG0000617,195,311.91,285.396,1048
OG0000618,35,76.025,47,336
OG0000619,80,331.344,243,635
OG0000623,3,11,2,22
OG0000624,286,654.049,436.012,2049.767
OG0000625,23.097,15.058,14,93.64
OG0000626,29,696.535,420,1910.939
OG0000627,15,43.489,12,27
OG0000628,1,1,0,14
OG0000629,96.911,244.304,297.477,1254
OG0000630,301,567.256,460.017,1735.514
OG0000632,1290,2369.448,707.163,4475.592
OG0000633,18,57.851,52,336
OG0000634,713,1215.319,597.003,1615.569
OG0000635,747.938,845.389,1115.726,2962.104
OG0000636,552,745.487,581.32,2144.268
OG0000637,3,23.396,12,20
OG0000638,2084.045,5810.647,2680.872,7879.919
OG0000639,1906.484,4202.257,1982.138,5544.985
OG0000640,182,536.898,339,1134.024
OG0000641,1,12,19,69
OG0000642,92,185.059,149.004,898
OG0000643,21,17,11,57
OG0000644,2914.002,7237.858,3087.737,9532.262
OG0000645,259.85,286.341,234.057,977.479
OG0000646,3215.547,8888.726,2504.294,12669.879
OG0000647,27,272.739,91,926.354
OG0000648,358.019,868.992,555.898,773
OG0000649,84,212.501,141,497.174
OG0000650,258,265.87,255,589.001
OG0000651,606,1035.932,1038.019,2774.954
OG0000652,470.972,1422.561,1025.662,2694.389
OG0000653,54,829.44,586,1232.376
OG0000654,1303,1957.058,1723.034,5777.815
OG0000655,361,1061.606,681.915,1408.86
OG0000656,24085.497,54147.517,20306.512,71186.439
OG0000657,47,163.526,83,638
OG0000658,253,796.993,692.134,1109.603
OG0000659,82,110.641,66.305,49.214
OG0000660,2420.967,5920.5,3224.425,10941.958
OG0000661,1587.156,4098.233,1668.81,6349.66
OG0000662,74.66,92.438,70.216,344.904
OG0000663,241,451.718,430.618,875.599
OG0000664,95.436,304.644,99.989,554.014
OG0000665,201.012,212.319,210.371,1020.045
OG0000666,125.815,83.781,72,330.761
OG0000668,2,3.008,3,18.934
OG0000670,1198.726,2271.869,961.031,4797.953
OG0000671,38,98.709,50.996,289.757
OG0000672,164,347.411,364.087,946.472
OG0000673,210.379,448.081,316.772,1643
OG0000674,36,53.885,20,171.003
OG0000675,625,1054.908,744,2820.265
OG0000676,574.607,1583.332,875.881,2133.743
OG0000677,26,43.372,45.95,162
OG0000678,632,1829.77,926.864,2008.81
OG0000679,6,8.128,23,80.517
OG0000681,392.001,1899.86,562.659,768.993
OG0000682,458,1340.563,794.03,2043.272
OG0000683,2,5.914,8,8.001
OG0000684,118,239.561,149.029,592.946
OG0000685,4795.655,5512.37,4422.502,9154.249
OG0000686,152.324,461.592,156.052,451.421
OG0000687,2,6.001,5,2
OG0000688,263,607.429,373.656,1646.392
OG0000689,716,1664.229,1012.902,4292.168
OG0000690,1221.54,3951.446,2232.14,3694.78
OG0000691,97.006,229.509,216.001,448.761
OG0000692,12,890.88,18,26
OG0000695,9,5,6,48
OG0000696,6,10,11,42
OG0000697,390.726,697.673,502.156,2611.477
OG0000698,1333.915,7317.227,1176.007,3449.092
OG0000699,58,70.632,68,254.826
OG0000700,2005.006,4709.205,2081.109,6107.535
OG0000701,586,637.891,516.001,1730.237
OG0000702,35,136.409,21,119
OG0000703,710.232,981.359,929.375,1068.847
OG0000704,17,43.394,27,259.15
OG0000705,79.251,147.225,111,329.961
OG0000706,151,475.991,359,1898.147
OG0000707,85,142.211,80.946,601
OG0000708,275,501.72,361.081,1357.086
OG0000709,3,1.006,2,16.004
OG0000710,196,796.447,565.373,1772.019
OG0000711,5,7.004,4,19
OG0000712,0,0,0,5
OG0000713,16,14.111,11,77
OG0000714,227,518.57,326,1218.102
OG0000715,571,1566.72,1094.667,2290.819
OG0000716,162,251.337,103,516.205
OG0000717,1,3,7,5
OG0000718,45,68.661,56,207.468
OG0000719,339.384,1148.94,632.034,1156.538
OG0000720,172,3074.648,208.742,448.903
OG0000721,592,985.201,208.004,412.571
OG0000722,11040.253,10658.131,2341.388,14079.107
OG0000723,92,408.161,168,476.459
OG0000724,8,8,8,132
OG0000725,274,587.792,463.019,2098.27
OG0000727,0,2,1,20
OG0000728,759.026,480.342,390,1699
OG0000729,0,14.006,11,1
OG0000730,186,452.527,249.208,586.926
OG0000731,23,48.015,53,150.845
OG0000732,100,235.019,186,470.227
OG0000733,142.018,230.347,275.697,919.884
OG0000734,449.992,1043.508,593,1579.852
OG0000735,810,3863.058,851.433,2761.535
OG0000736,6,14.791,7.999,90.998
OG0000737,80,150.169,111.042,1732.091
OG0000738,2,0,6,47
OG0000739,357.284,1167.433,687,1421.908
OG0000740,66,238.244,132.043,91.868
OG0000741,375.625,951.328,688.927,1462.036
OG0000743,4174.714,10564.731,4076.193,14119.424
OG0000744,3,16.004,12,39
OG0000745,34,101.483,108,244.68
OG0000746,57,173.639,43.977,1142.015
OG0000747,0,3,3,24.001
OG0000748,173,271.708,183,793.317
OG0000749,431,2388.5,1228.744,1278.762
